,Power
447,1322
448,774
449,686
450,769
451,867
452,628
453,677
454,645
455,843
456,901
457,710
458,992
459,786
460,745
461,736
462,761
463,557
464,705
465,1639
466,1425
467,1371
468,1241
469,2714
470,2435
471,1484
472,816
473,838
474,729
475,805
476,734
477,769
478,819
479,879
480,913
481,977
482,804
483,799
484,1075
485,797
486,885
487,950
488,636
489,682
490,1994
491,966
492,1024
493,1990
494,1152
495,1784
496,986
497,923
498,1120
499,1167
500,796
501,842
502,877
503,649
504,796
505,1176
506,894
507,913
508,700
509,813
510,903
511,718
512,722
513,558
514,2804
515,1528
516,3879
517,1487
518,1935
519,2124
520,582
521,741
522,863
523,897
524,763
525,642
526,748
527,581
528,939
529,572
530,622
531,896
532,836
533,762
534,624
535,855
536,448
537,435
538,686
539,928
540,902
541,804
542,802
543,894
544,895
545,921
546,836
547,747
548,625
549,690
550,652
551,861
552,912
553,1041
554,825
555,768
556,510
557,930
558,684
559,919
560,711
561,653
562,561
563,825
564,864
565,645
566,920
567,446
568,728
569,525
570,498
571,723
572,723
573,844
574,696
575,930
576,642
577,548
578,784
579,513
580,797
581,629
582,730
583,624
584,504
585,1321
586,4138
587,4208
588,1555
589,715
590,636
591,682
592,716
593,630
594,696
595,854
596,710
597,649
598,663
599,930
600,681
601,678
602,921
603,1008
604,989
605,692
606,534
607,587
608,435
609,655
610,1244
611,2099
612,1598
613,1685
614,1546
615,1728
616,1111
617,930
618,950
619,1008
620,971
621,908
622,992
623,1000
624,1042
625,979
626,1095
627,1092
628,978
629,958
630,950
631,854
632,882
633,1410
634,1816
635,2188
636,2365
637,2045
638,2114
639,1599
640,1094
641,963
642,939
643,918
644,911
645,839
646,862
647,994
648,1056
649,940
650,931
651,908
652,1069
653,944
654,884
655,856
656,841
657,1390
658,1994
659,2213
660,2039
661,1914
662,1960
663,1635
664,1036
665,945
666,997
667,1004
668,960
669,974
670,867
671,1040
672,1010
673,976
674,880
675,970
676,1110
677,1022
678,910
679,913
680,859
681,1189
682,2006
683,2173
684,1269
685,2635
686,1883
687,2336
688,961
689,1011
690,693
691,624
692,673
693,995
694,1096
695,947
696,846
697,883
698,1035
699,960
700,1040
701,829
702,899
703,742
704,1585
705,989
706,745
707,837
708,595
709,815
710,528
711,790
712,734
713,683
714,898
715,864
716,1627
717,1196
718,1041
719,675
720,892
721,1185
722,723
723,865
724,640
725,1209
726,636
727,916
728,706
729,908
730,1733
731,938
732,1306
733,2956
734,1276
735,1665
736,1310
737,860
738,681
739,1196
740,690
741,1253
742,1050
743,826
744,897
745,903
746,1116
747,1050
748,957
749,985
750,1018
751,709
752,687
753,1863
754,4613
755,4477
756,4158
757,1742
758,2518
759,1275
760,937
761,953
762,976
763,941
764,2876
765,1150
766,808
767,1360
768,1161
769,793
770,797
771,665
772,839
773,615
774,849
775,1156
776,1512
777,2012
778,3079
779,1518
780,1087
781,1315
782,1788
783,1309
784,889
785,818
786,692
787,1372
788,1260
789,548
790,862
791,1710
792,1033
793,781
794,658
795,709
796,770
797,701
798,774
799,538
800,703
801,1546
802,1287
803,763
804,2027
805,2948
806,2797
807,890
808,843
809,706
810,709
811,903
812,577
813,685
814,617
815,692
816,760
817,662
818,814
819,864
820,1499
821,1007
822,713
823,773
824,800
825,1380
826,2217
827,1999
828,1277
829,1947
830,874
831,991
832,749
833,1243
834,1094
835,725
836,1009
837,808
838,924
839,947
840,990
841,1251
842,807
843,1900
844,1152
845,985
846,973
847,1020
848,1726
849,673
850,1575
851,1757
852,1258
853,1377
854,1948
855,1090
856,1013
857,825
858,536
859,769
860,1053
861,807
862,779
863,656
864,886
865,940
866,909
867,742
868,985
869,1411
870,874
871,738
872,729
873,816
874,868
875,968
876,775
877,790
878,919
879,613
880,770
881,673
882,789
883,1311
884,811
885,915
886,803
887,861
888,1262
889,874
890,848
891,943
892,970
893,1098
894,1127
895,1165
896,947
897,1334
898,1307
899,4006
900,2038
901,2066
902,1121
903,1969
904,1079
905,891
906,989
907,890
908,910
909,955
910,942
911,980
912,828
913,841
914,894
915,1059
916,885
917,1281
918,1048
919,1003
920,854
921,743
922,2104
923,2865
924,2278
925,2258
926,1852
927,1786
928,965
929,1029
930,912
931,931
932,944
933,939
934,906
935,984
936,780
937,1414
938,1428
939,2365
940,1005
941,1887
942,1848
943,895
944,2179
945,2113
946,1851
947,2135
948,2262
949,1861
950,2165
951,3118
952,1346
953,859
954,920
955,1106
956,1414
957,940
958,754
959,867
960,1497
961,1408
962,1011
963,983
964,1088
965,1441
966,1235
967,998
968,662
969,1312
970,1342
971,3259
972,3309
973,1776
974,2489
975,2336
976,1502
977,1147
978,1050
979,765
980,852
981,943
982,1214
983,1203
984,1577
985,822
986,1014
987,811
988,1684
989,1204
990,663
991,638
992,594
993,865
994,1027
995,1132
996,700
997,634
998,1123
999,1303
1000,1654
1001,1159
1002,1605
1003,1253
1004,807
1005,1003
1006,1205
1007,1408
1008,1428
1009,973
1010,916
1011,810
1012,1538
1013,1690
1014,908
1015,716
1016,914
1017,1284
1018,1899
1019,1339
1020,1596
1021,4979
1022,2572
1023,1894
1024,669
1025,842
1026,761
1027,1402
1028,1295
1029,1180
1030,967
1031,775
1032,736
1033,1636
1034,1367
1035,859
1036,749
1037,993
1038,1340
1039,1416
1040,624
1041,915
1042,765
1043,1400
1044,1408
1045,761
1046,784
1047,676
1048,1262
1049,1124
1050,775
1051,920
1052,710
1053,1382
1054,1245
1055,1563
1056,1010
1057,866
1058,941
1059,1401
1060,1279
1061,904
1062,820
1063,759
1064,1122
1065,1822
1066,1372
1067,1471
1068,1298
1069,1785
1070,1244
1071,1805
1072,1111
1073,604
1074,1101
1075,1421
1076,730
1077,587
1078,933
1079,1239
1080,1500
1081,1416
1082,873
1083,936
1084,615
1085,1261
1086,1220
1087,608
1088,553
1089,1561
1090,6156
1091,6232
1092,6818
1093,6772
1094,4674
1095,4975
1096,1544
1097,1705
1098,647
1099,1011
1100,1460
1101,1474
1102,739
1103,1056
1104,971
1105,1491
1106,1456
1107,1446
1108,1135
1109,878
1110,737
1111,1276
1112,1320
1113,759
1114,1231
1115,1144
1116,1480
1117,1598
1118,3551
1119,2021
1120,908
1121,1274
1122,1192
1123,1144
1124,933
1125,1014
1126,1646
1127,1594
1128,955
1129,1091
1130,975
1131,1130
1132,1342
1133,1740
1134,814
1135,814
1136,783
1137,1160
1138,1193
1139,989
1140,1098
1141,880
1142,1489
1143,1396
1144,719
1145,969
1146,979
1147,1373
1148,1558
1149,822
1150,756
1151,1319
1152,1482
1153,1414
1154,984
1155,1012
1156,959
1157,1433
1158,1436
1159,961
1160,752
1161,1281
1162,1493
1163,2697
1164,3831
1165,958
1166,3862
1167,1582
1168,1597
1169,941
1170,1036
1171,1042
1172,1666
1173,1259
1174,767
1175,1126
1176,989
1177,1145
1178,1336
1179,1253
1180,615
1181,1112
1182,1165
1183,1518
1184,1488
1185,833
1186,1401
1187,2778
1188,2280
1189,1747
1190,789
1191,1769
1192,1126
1193,1216
1194,1432
1195,810
1196,762
1197,1277
1198,1382
1199,1749
1200,1094
1201,1035
1202,702
1203,1448
1204,1374
1205,796
1206,915
1207,797
1208,1400
1209,1259
1210,827
1211,829
1212,676
1213,1387
1214,1384
1215,908
1216,924
1217,937
1218,1352
1219,1403
1220,811
1221,814
1222,666
1223,1287
1224,1504
1225,986
1226,749
1227,824
1228,1503
1229,1441
1230,1178
1231,702
1232,970
1233,1919
1234,1715
1235,2714
1236,2427
1237,2876
1238,2296
1239,1894
1240,3363
1241,1487
1242,1253
1243,750
1244,1023
1245,1267
1246,1189
1247,1463
1248,957
1249,1115
1250,1240
1251,1388
1252,1531
1253,947
1254,776
1255,702
1256,1066
1257,1887
1258,1144
1259,4099
1260,1650
1261,3315
1262,2471
1263,2992
1264,879
1265,866
1266,1401
1267,1354
1268,1030
1269,898
1270,760
1271,1266
1272,1370
1273,1320
1274,931
1275,937
1276,1241
1277,1653
1278,1462
1279,864
1280,1142
1281,868
1282,1128
1283,1336
1284,745
1285,793
1286,926
1287,1331
1288,1298
1289,835
1290,748
1291,871
1292,1290
1293,1482
1294,1077
1295,987
1296,1067
1297,1135
1298,1369
1299,1354
1300,2195
1301,726
1302,1247
1303,1298
1304,1397
1305,798
1306,949
1307,2995
1308,2103
1309,2134
1310,1557
1311,1524
1312,1127
1313,1241
1314,811
1315,632
1316,983
1317,1279
1318,1083
1319,769
1320,738
1321,616
1322,1446
1323,1392
1324,699
1325,950
1326,814
1327,1587
1328,1218
1329,1412
1330,1560
1331,1360
1332,1292
1333,1449
1334,818
1335,869
1336,1163
1337,1073
1338,881
1339,506
1340,622
1341,1202
1342,1147
1343,888
1344,978
1345,847
1346,1288
1347,1387
1348,676
1349,668
1350,876
1351,1062
1352,1194
1353,1284
1354,1174
1355,2214
1356,1942
1357,875
1358,978
1359,938
1360,1317
1361,1125
1362,604
1363,778
1364,869
1365,1202
1366,1063
1367,770
1368,613
1369,1424
1370,1130
1371,773
1372,753
1373,842
1374,1191
1375,948
1376,591
1377,586
1378,663
1379,1026
1380,1211
1381,496
1382,534
1383,1159
1384,1044
1385,724
1386,404
1387,625
1388,1155
1389,1210
1390,623
1391,843
1392,683
1393,1382
1394,1294
1395,848
1396,894
1397,787
1398,1112
1399,1214
1400,487
1401,1230
1402,1175
1403,1916
1404,1228
1405,973
1406,944
1407,1894
1408,942
1409,1191
1410,712
1411,587
1412,1251
1413,1045
1414,742
1415,747
1416,734
1417,1129
1418,1228
1419,577
1420,668
1421,686
1422,913
1423,1177
1424,371
1425,1556
1426,5224
1427,6661
1428,5881
1429,6367
1430,4371
1431,4664
1432,1167
1433,599
1434,791
1435,650
1436,979
1437,1332
1438,1431
1439,862
1440,935
1441,801
1442,1143
1443,1358
1444,659
1445,778
1446,1056
1447,1203
1448,1236
1449,1380
1450,950
1451,1774
1452,1435
1453,2108
1454,1388
1455,3216
1456,1074
1457,1067
1458,1247
1459,1105
1460,948
1461,850
1462,465
1463,1361
1464,1166
1465,588
1466,2836
1467,3699
1468,778
1469,1090
1470,1426
1471,1248
1472,1297
1473,1410
1474,1816
1475,2188
1476,2365
1477,2123
1478,1218
1479,748
1480,644
1481,1225
1482,1303
1483,668
1484,674
1485,762
1486,1109
1487,1166
1488,858
1489,985
1490,819
1491,1341
1492,1325
1493,741
1494,653
1495,587
1496,1157
1497,2280
1498,578
1499,3403
1500,1016
1501,866
1502,1323
1503,1283
1504,742
1505,628
1506,795
1507,1283
1508,1153
1509,672
1510,622
1511,574
1512,1309
1513,1236
1514,719
1515,607
1516,706
1517,1215
1518,1147
1519,1087
1520,596
1521,1302
1522,1394
1523,1213
1524,1115
1525,1325
1526,409
1527,1350
1528,911
1529,984
1530,510
1531,458
1532,917
1533,975
1534,1182
1535,647
1536,665
1537,974
1538,1337
1539,1209
1540,724
1541,649
1542,676
1543,1148
1544,947
1545,1265
1546,517
1547,666
1548,1063
1549,1015
1550,1355
1551,850
1552,729
1553,765
1554,1028
1555,1258
1556,663
1557,831
1558,989
1559,1154
1560,1366
1561,519
1562,492
1563,487
1564,1077
1565,1197
1566,507
1567,675
1568,380
1569,1002
1570,5327
1571,4398
1572,4134
1573,1088
1574,4770
1575,4688
1576,661
1577,799
1578,681
1579,1399
1580,1375
1581,875
1582,908
1583,945
1584,1456
1585,1380
1586,1322
1587,894
1588,526
1589,1048
1590,1291
1591,642
1592,605
1593,1342
1594,1538
1595,2467
1596,1059
1597,1049
1598,711
1599,1193
1600,1443
1601,1063
1602,672
1603,622
1604,1023
1605,772
1606,1395
1607,705
1608,1475
1609,721
1610,710
1611,1058
1612,1342
1613,1312
1614,916
1615,841
1616,978
1617,1883
1618,1690
1619,1483
1620,1643
1621,1989
1622,1728
1623,1733
1624,596
1625,1468
1626,1147
1627,734
1628,704
1629,1217
1630,1377
1631,801
1632,824
1633,702
1634,993
1635,1156
1636,1267
1637,642
1638,793
1639,496
1640,1220
1641,1010
1642,1054
1643,940
1644,616
1645,2907
1646,1172
1647,810
1648,644
1649,570
1650,1258
1651,1098
1652,629
1653,523
1654,963
1655,1239
1656,1050
1657,885
1658,698
1659,550
1660,1325
1661,1194
1662,616
1663,505
1664,845
1665,1011
1666,660
1667,818
1668,5210
1669,5523
1670,5397
1671,1926
1672,601
1673,609
1674,1498
1675,980
1676,1038
1677,904
1678,702
1679,1248
1680,1331
1681,1374
1682,982
1683,875
1684,1344
1685,1356
1686,1295
1687,801
1688,626
1689,1737
1690,2588
1691,5013
1692,4526
1693,1271
1694,1758
1695,1276
1696,1165
1697,638
1698,849
1699,1201
1700,974
1701,1031
1702,678
1703,759
1704,1051
1705,1104
1706,1452
1707,589
1708,583
1709,849
1710,1167
1711,1092
1712,779
1713,483
1714,769
1715,1169
1716,1102
1717,485
1718,539
1719,495
1720,1010
1721,1222
1722,628
1723,546
1724,604
1725,1082
1726,1308
1727,753
1728,767
1729,717
1730,1077
1731,1167
1732,1226
1733,1368
1734,1392
1735,464
1736,1248
1737,1733
1738,1527
1739,3392
1740,5743
1741,1290
1742,2335
1743,1841
1744,970
1745,786
1746,1406
1747,1334
1748,910
1749,749
1750,779
1751,1430
1752,1371
1753,734
1754,1029
1755,921
1756,1215
1757,1403
1758,810
1759,933
1760,1461
1761,1237
1762,4153
1763,6231
1764,1312
1765,1729
1766,2735
1767,1337
1768,924
1769,1069
1770,1225
1771,1439
1772,722
1773,715
1774,1396
1775,1504
1776,979
1777,1063
1778,632
1779,1201
1780,1352
1781,874
1782,556
1783,714
1784,1021
1785,1862
1786,1157
1787,2338
1788,1461
1789,3361
1790,1770
1791,1062
1792,729
1793,1269
1794,1345
1795,909
1796,812
1797,980
1798,1229
1799,1385
1800,1006
1801,800
1802,1480
1803,1190
1804,897
1805,965
1806,733
1807,1468
1808,1037
1809,713
1810,1075
1811,2188
1812,2365
1813,2045
1814,2114
1815,978
1816,1498
1817,1419
1818,1501
1819,1418
1820,599
1821,594
1822,572
1823,1291
1824,1217
1825,577
1826,664
1827,673
1828,1378
1829,1179
1830,927
1831,537
1832,1088
1833,1792
1834,2884
1835,4452
1836,5124
1837,4793
1838,4751
1839,4428
1840,1566
1841,1095
1842,1383
1843,627
1844,1135
1845,903
1846,1206
1847,1086
1848,831
1849,828
1850,1019
1851,1280
1852,1185
1853,725
1854,746
1855,1127
1856,1391
1857,454
1858,1563
1859,4454
1860,2602
1861,1546
1862,970
1863,1090
1864,3440
1865,1221
1866,486
1867,528
1868,640
1869,1265
1870,1371
1871,839
1872,1251
1873,735
1874,1247
1875,1475
1876,592
1877,793
1878,851
1879,1300
1880,1546
1881,580
1882,650
1883,1164
1884,1085
1885,497
1886,593
1887,1112
1888,1282
1889,1293
1890,774
1891,646
1892,1217
1893,1220
1894,869
1895,664
1896,843
1897,1393
1898,1676
1899,725
1900,1251
1901,1259
1902,762
1903,574
1904,783
1905,1303
1906,4806
1907,1348
1908,1752
1909,5739
1910,4544
1911,5327
1912,2279
1913,961
1914,1024
1915,994
1916,847
1917,881
1918,924
1919,1960
1920,1448
1921,1004
1922,879
1923,786
1924,1461
1925,1157
1926,680
1927,526
1928,945
1929,1376
1930,1618
1931,1853
1932,1904
1933,1555
1934,1547
1935,2734
1936,983
1937,700
1938,1094
1939,1270
1940,610
1941,816
1942,1033
1943,1548
1944,1353
1945,780
1946,861
1947,654
1948,1276
1949,1241
1950,540
1951,934
1952,1161
1953,1153
1954,3078
1955,1000
1956,782
1957,1319
1958,1162
1959,909
1960,644
1961,1001
1962,1547
1963,1324
1964,601
1965,836
1966,1020
1967,1401
1968,1248
1969,703
1970,698
1971,1229
1972,1190
1973,905
1974,991
1975,637
1976,1267
1977,1134
1978,2039
1979,1033
1980,3746
1981,1333
1982,1612
1983,1204
1984,1094
1985,1443
1986,616
1987,1019
1988,1134
1989,743
1990,583
1991,853
1992,1466
1993,1205
1994,742
1995,595
1996,1167
1997,1098
1998,960
1999,627
2000,707
2001,1166
2002,1087
2003,638
2004,760
2005,426
2006,1032
2007,980
2008,671
2009,411
2010,820
2011,1175
2012,1184
2013,1004
2014,722
2015,1441
2016,998
2017,1099
2018,656
2019,784
2020,1246
2021,1240
2022,1373
2023,619
2024,600
2025,1391
2026,1407
2027,1141
2028,818
2029,1111
2030,1104
2031,982
2032,694
2033,1482
2034,1077
2035,1241
2036,1313
2037,1114
2038,766
2039,702
2040,1374
2041,1217
2042,852
2043,888
2044,791
2045,1304
2046,1299
2047,595
2048,788
2049,591
2050,1085
2051,1115
2052,647
2053,541
2054,999
2055,1271
2056,563
2057,893
2058,618
2059,1178
2060,1027
2061,459
2062,719
2063,770
2064,1548
2065,1231
2066,759
2067,827
2068,887
2069,1345
2070,1050
2071,519
2072,584
2073,1064
2074,1430
2075,1021
2076,1962
2077,1492
2078,1919
2079,1703
2080,466
2081,2640
2082,1362
2083,1310
2084,721
2085,729
2086,648
2087,1205
2088,1238
2089,744
2090,655
2091,610
2092,1331
2093,1463
2094,858
2095,843
2096,1153
2097,1828
2098,1690
2099,3745
2100,1269
2101,1876
2102,1983
2103,1902
2104,1108
2105,708
2106,974
2107,1544
2108,1346
2109,959
2110,727
2111,1469
2112,1251
2113,1411
2114,924
2115,910
2116,1245
2117,1395
2118,1121
2119,751
2120,907
2121,1051
2122,1179
2123,1426
2124,799
2125,647
2126,1403
2127,1494
2128,655
2129,833
2130,954
2131,1368
2132,1533
2133,899
2134,678
2135,951
2136,1461
2137,1469
2138,953
2139,908
2140,709
2141,1381
2142,1095
2143,740
2144,931
2145,923
2146,1571
2147,1214
2148,5348
2149,5834
2150,5152
2151,4936
2152,769
2153,837
2154,797
2155,1295
2156,1111
2157,660
2158,871
2159,1381
2160,1284
2161,785
2162,760
2163,666
2164,1215
2165,1324
2166,579
2167,871
2168,453
2169,1705
2170,1582
2171,1365
2172,1522
2173,2020
2174,1678
2175,1365
2176,1090
2177,644
2178,1296
2179,1494
2180,1194
2181,848
2182,852
2183,1770
2184,1400
2185,976
2186,991
2187,744
2188,1489
2189,1595
2190,792
2191,827
2192,734
2193,1781
2194,6191
2195,5536
2196,4393
2197,4300
2198,2856
2199,1822
2200,555
2201,711
2202,1082
2203,1070
2204,689
2205,718
2206,606
2207,1244
2208,1076
2209,828
2210,1219
2211,543
2212,1279
2213,1289
2214,713
2215,904
2216,792
2217,719
2218,2498
2219,733
2220,-314
2221,1875
2222,929
2223,1463
2224,831
2225,573
2226,892
2227,1189
2228,1086
2229,1166
2230,532
2231,1138
2232,849
2233,716
2234,1182
2235,298
2236,1101
2237,712
2238,966
2239,1073
2240,1518
2241,1550
2242,431
2243,1352
2244,1332
2245,2150
2246,33
2247,2756
2248,141
2249,1008
2250,694
2251,1009
2252,1453
2253,914
2254,1150
2255,812
2256,910
2257,1002
2258,1064
2259,1452
2260,1115
2261,961
2262,724
2263,749
2264,875
2265,1094
2266,2375
2267,4301
2268,2848
2269,604
2270,4536
2271,432
2272,1270
2273,1760
2274,576
2275,846
2276,1027
2277,547
2278,919
2279,1160
2280,1000
2281,972
2282,740
2283,933
2284,998
2285,1097
2286,1125
2287,990
2288,1532
2289,432
2290,166
2291,2746
2292,2832
2293,-335
2294,3211
2295,1365
2296,800
2297,1045
2298,1309
2299,1008
2300,876
2301,871
2302,1321
2303,1047
2304,1195
2305,1235
2306,1374
2307,1577
2308,1258
2309,1017
2310,931
2311,871
2312,1128
2313,1193
2314,345
2315,2722
2316,2815
2317,-265
2318,333
2319,3312
2320,2333
2321,1069
2322,868
2323,786
2324,1151
2325,827
2326,1270
2327,955
2328,1032
2329,1169
2330,1311
2331,1590
2332,1281
2333,992
2334,1225
2335,1266
2336,1074
2337,1925
2338,1263
2339,1666
2340,533
2341,4353
2342,2534
2343,4727
2344,622
2345,1471
2346,471
2347,873
2348,1166
2349,748
2350,1156
2351,666
2352,718
2353,269
2354,1108
2355,929
2356,874
2357,1348
2358,907
2359,327
2360,-7
2361,671
2362,1096
2363,3443
2364,1941
2365,2947
2366,784
2367,3931
2368,1473
2369,1095
2370,797
2371,988
2372,708
2373,769
2374,1267
2375,1185
2376,849
2377,1146
2378,584
2379,1034
2380,999
2381,1221
2382,1279
2383,1110
2384,785
2385,1185
2386,716
2387,3727
2388,4219
2389,2364
2390,3003
2391,2103
2392,1738
2393,1734
2394,1093
2395,1236
2396,1356
2397,969
2398,521
2399,1910
2400,1198
2401,1121
2402,1157
2403,493
2404,503
2405,1034
2406,751
2407,965
2408,860
2409,1032
2410,2145
2411,1658
2412,4661
2413,877
2414,78
2415,1795
2416,88
2417,651
2418,1006
2419,918
2420,1032
2421,947
2422,850
2423,732
2424,1233
2425,781
2426,1228
2427,378
2428,1350
2429,304
2430,936
2431,532
2432,1219
2433,969
2434,2927
2435,3280
2436,1183
2437,10
2438,1634
2439,1284
2440,1347
2441,326
2442,998
2443,1085
2444,1053
2445,764
2446,503
2447,945
2448,1386
2449,887
2450,900
2451,950
2452,544
2453,1231
2454,942
2455,786
2456,1245
2457,1010
2458,1910
2459,3519
2460,2021
2461,1588
2462,642
2463,1854
2464,324
2465,300
2466,735
2467,922
2468,989
2469,900
2470,651
2471,835
2472,1224
2473,894
2474,688
2475,572
2476,1082
2477,1134
2478,796
2479,839
2480,741
2481,1251
2482,1980
2483,2440
2484,1886
2485,95
2486,-224
2487,-194
2488,1460
2489,909
2490,1393
2491,806
2492,609
2493,802
2494,710
2495,1125
2496,1291
2497,487
2498,774
2499,147
2500,1215
2501,1286
2502,1125
2503,500
2504,1015
2505,-119
2506,1775
2507,3441
2508,5548
2509,2011
2510,1859
2511,1829
2512,1749
2513,945
2514,852
2515,1379
2516,583
2517,800
2518,1061
2519,736
2520,895
2521,1065
2522,1073
2523,713
2524,1002
2525,875
2526,913
2527,983
2528,759
2529,1288
2530,1990
2531,-47
2532,-249
2533,3424
2534,2207
2535,1882
2536,2591
2537,655
2538,665
2539,1119
2540,1201
2541,1020
2542,1014
2543,1169
2544,993
2545,1224
2546,1040
2547,1216
2548,1358
2549,868
2550,677
2551,1175
2552,668
2553,1120
2554,3230
2555,3475
2556,903
2557,1562
2558,4566
2559,130
2560,1806
2561,932
2562,965
2563,653
2564,1435
2565,832
2566,1069
2567,1125
2568,910
2569,304
2570,1064
2571,935
2572,725
2573,1032
2574,1072
2575,679
2576,506
2577,416
2578,-224
2579,2812
2580,1787
2581,2863
2582,720
2583,2290
2584,1072
2585,1076
2586,564
2587,1229
2588,1403
2589,1307
2590,873
2591,957
2592,971
2593,528
2594,1044
2595,453
2596,584
2597,1274
2598,653
2599,562
2600,432
2601,678
2602,1221
2603,1936
2604,3903
2605,3740
2606,599
2607,2854
2608,1482
2609,1077
2610,858
2611,799
2612,1184
2613,957
2614,831
2615,1365
2616,801
2617,779
2618,661
2619,1705
2620,1151
2621,1130
2622,990
2623,1304
2624,502
2625,1458
2626,2334
2627,3851
2628,112
2629,631
2630,3379
2631,3176
2632,1697
2633,477
2634,661
2635,641
2636,639
2637,1217
2638,735
2639,1226
2640,917
2641,928
2642,767
2643,85
2644,867
2645,618
2646,860
2647,892
2648,873
2649,1578
2650,2255
2651,-857
2652,395
2653,187
2654,1234
2655,1157
2656,1110
2657,868
2658,883
2659,949
2660,1102
2661,1042
2662,1565
2663,821
2664,1244
2665,989
2666,953
2667,634
2668,1061
2669,1552
2670,889
2671,698
2672,676
2673,1238
2674,3303
2675,3184
2676,-58
2677,1813
2678,1719
2679,730
2680,1252
2681,1095
2682,1001
2683,1178
2684,811
2685,966
2686,274
2687,1243
2688,1074
2689,1114
2690,933
2691,974
2692,1235
2693,1598
2694,664
2695,870
2696,1184
2697,1088
2698,646
2699,1039
2700,2615
2701,3136
2702,465
2703,2298
2704,1251
2705,995
2706,871
2707,631
2708,1886
2709,660
2710,1215
2711,595
2712,505
2713,1044
2714,1249
2715,1631
2716,1202
2717,643
2718,704
2719,1351
2720,1085
2721,1104
2722,1212
2723,1001
2724,1464
2725,2208
2726,979
2727,1053
2728,1335
2729,631
2730,664
2731,1151
2732,591
2733,829
2734,1055
2735,580
2736,1247
2737,916
